"record","fhcounter","host","fhlrcounter","litnum","state","country","notes","citation","taxon","author","year","current","kingdom","phylum","class","order","family","genus","species","header"
"127408",45,"Pseudotsuga menziesii","94","44","Idaho","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Veluticeps fimbriata","(Ellis & Everh.) Nakasone",1990,"127408","Fungi","Basidiomycota","Agaricomycetes","Gloeophyllales","Gloeophyllaceae","Veluticeps","Veluticeps_fimbriata","Fungi;Basidiomycota;Agaricomycetes;Gloeophyllales;Gloeophyllaceae;Veluticeps;Veluticeps_fimbriata"
"298781",145,"Pseudotsuga menziesii","255","312","Arizona","United States",NA,"Gilbertson, R.L., Martin, K.J., and Lindsey, J.P.. 1974. Annotated check list and host index for Arizona wood-rotting fungi.. Univ. Arizona Agric. Exp. Sta. Techn. Bull. 209:1-48","Hyphoderma tenue","(Pat.) Donk",1957,"298781","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Hyphodermataceae","Hyphoderma","Hyphoderma_tenue","Fungi;Basidiomycota;Agaricomycetes;Polyporales;Hyphodermataceae;Hyphoderma;Hyphoderma_tenue"
"324872",190,"Pseudotsuga menziesii","327","312","Arizona","United States",NA,"Gilbertson, R.L., Martin, K.J., and Lindsey, J.P.. 1974. Annotated check list and host index for Arizona wood-rotting fungi.. Univ. Arizona Agric. Exp. Sta. Techn. Bull. 209:1-48","Trichaptum sector","(Ehrenb.) Kreisel",1971,"324872","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetales_family_incertae_sedis","Trichaptum","Trichaptum_sector","Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetales_family_incertae_sedis;Trichaptum;Trichaptum_sector"
"279983",220,"Pseudotsuga menziesii","389","312","Arizona","United States",NA,"Gilbertson, R.L., Martin, K.J., and Lindsey, J.P.. 1974. Annotated check list and host index for Arizona wood-rotting fungi.. Univ. Arizona Agric. Exp. Sta. Techn. Bull. 209:1-48","Hymenochaete tenuis","Peck",1887,"279983","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Hymenochaete","Hymenochaete_tenuis","Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Hymenochaete;Hymenochaete_tenuis"
"147988",352,"Pseudotsuga menziesii","594","99","Oregon","United States","On leaf surface.","Rossman, A.Y., and Lu, K.C.. 1980. Filamentous fungi associated with leaf surfaces of red alder and Douglas-fir seedlings in western Oregon. Mycotaxon 10:369-371","Sordaria fimicola","(Roberge ex Desm.) Ces. & De Not.",1863,"147988","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Sordaria","Sordaria_fimicola","Fungi;Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Sordaria;Sordaria_fimicola"
"118651",356,"Pseudotsuga menziesii","599","44","Washington","United States",NA,"Shaw, C.G.. 1973. Host fungus index for the Pacific Northwest - I.  Hosts. Washington State Univ. Agric. Exp. Sta. Bull. 765:1-121","Heyderia abietis","(Fr.) Link",1833,"118651","Fungi","Ascomycota","Leotiomycetes","Helotiales","Cenangiaceae","Heyderia","Heyderia_abietis","Fungi;Ascomycota;Leotiomycetes;Helotiales;Cenangiaceae;Heyderia;Heyderia_abietis"
"317179",397,"Pseudotsuga menziesii","671","99","Oregon","United States","On leaf surface.","Rossman, A.Y., and Lu, K.C.. 1980. Filamentous fungi associated with leaf surfaces of red alder and Douglas-fir seedlings in western Oregon. Mycotaxon 10:369-371","Oidiodendron cereale","(Thüm.) G.L. Barron",1962,"317179","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_cereale","Fungi;Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;Oidiodendron;Oidiodendron_cereale"
"9869",402,"Pseudotsuga menziesii","676","99","Oregon","United States","On leaf surface.","Rossman, A.Y., and Lu, K.C.. 1980. Filamentous fungi associated with leaf surfaces of red alder and Douglas-fir seedlings in western Oregon. Mycotaxon 10:369-371","Selenophoma","Maire",1907,"9869","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Selenophoma","Selenophoma_sp","Fungi;Ascomycota;Dothideomycetes;Dothideales;Saccotheciaceae;Selenophoma;Selenophoma_sp"
"218372",424,"Pseudotsuga menziesii","1275825","25284","California","United States",NA,"French, A.M.. 1989. California Plant Disease Host Index.. Calif. Dept. Food Agric., Sacramento :394","Fusarium oxysporum","Schltdl.",1824,"218372","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_oxysporum","Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium_oxysporum"
"218372",424,"Pseudotsuga menziesii","1611639","49199","Idaho","United States",NA,"Stewart, J.E., Abdo, Z., Dumroese, R.K., Klopfenstein, N.B., and Kim, M.-S.. 2012. Virulence of %Fusarium oxysporum% and %F. commune% to Douglas-fir (%Pseudotsuga menziesii%) seedlings. Forest Pathol. 42:220-228","Fusarium oxysporum","Schltdl.",1824,"218372","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_oxysporum","Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium_oxysporum"
